Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2015–16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,Percent of students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,American Indian / Alaska Native,,Total,Asian1,Hawaiian Native/Pacific Islander1,,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities,,,,,,,,,,,,,,,,,,,,,
    United States2,,84.1,71.9,,90.8,—,—,,79.3,76.4,88.3,—,77.6,66.9,65.5,,,,,,,,,,,,,,,,,,,,,
Alabama,,87.1,90,,91,—,—,,87,84.5,88.6,89,80.9,64,54.1,,,,,,,,,,,,,,,,,,,,,
Alaska,,76.1,64,,81,—,—,,76,74,80.8,75,68.4,55,54,,,,,,,,,,,,,,,,,,,,,
Arizona,,79.5,67.7,,89,—,—,,76.4,75.5,84.0,—,76.7,32,69.0,,,,,,,,,,,,,,,,,,,,,
Arkansas,,87.0,87,,87,91,75,,85.7,81.5,89.2,87,83.8,86,84.3,,,,,,,,,,,,,,,,,,,,,
California,,83.0,74.0,,92.9,93.0,91.7,,80.0,73.0,88.0,82.0,79.0,72.0,66.0,,,,,,,,,,,,,,,,,,,,,
Colorado,,78.9,62,,85,86,74,,69.9,71.8,84.4,79,67.8,61.4,57.2,,,,,,,,,,,,,,,,,,,,,
Connecticut,,87.4,89,,94,95,84,,76.4,78.8,92.5,88,76.7,67,65.2,,,,,,,,,,,,,,,,,,,,,
Delaware,,85.5,>=90%,,91,91,>=50%,,81,82.1,88.4,84,76,73,67,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,69.2,<>,,77,<>,<>,,69,67.7,91,>=90%,69.3,64,50,,,,,,,,,,,,,,,,,,,,,
Florida,,80.7,77,,91.6,91.9,85,,79.5,72.3,85.1,82.7,74.4,62.0,61.6,,,,,,,,,,,,,,,,,,,,,
Georgia,,79.4,69,,87.8,—,—,,73.4,76.2,83.1,81.0,75.3,56.5,56.6,,,,,,,,,,,,,,,,,,,,,
Hawaii,,82.7,72,,83.6,—,—,,75,78,82,—,77.9,69,59,,,,,,,,,,,,,,,,,,,,,
Idaho,,79.7,58,,80,83,70,,73.7,78,81.4,77,71.9,73,60,,,,,,,,,,,,,,,,,,,,,
Illinois,,85.5,79,,93.5,93.7,85,,81.3,74.5,90.4,84.7,76.7,71.9,70.5,,,,,,,,,,,,,,,,,,,,,
Indiana,,86.8,83,,89,89,81,,82.7,73.8,89.5,85,85.0,71,72.0,,,,,,,,,,,,,,,,,,,,,
Iowa,,91.3,81,,91,92,88,,85,80,92.9,84,83.9,81,70,,,,,,,,,,,,,,,,,,,,,
Kansas,,85.7,73,,92,93,83,,79.2,77,88.4,82,77.5,77.4,77.5,,,,,,,,,,,,,,,,,,,,,
Kentucky,,88.6,83,,93,93,>=90%,,82,80.9,90.0,87,85.6,68,71.9,,,,,,,,,,,,,,,,,,,,,
Louisiana,,78.6,83,,89,89,72,,73,73.4,83.2,85,72.9,43,46.6,,,,,,,,,,,,,,,,,,,,,
Maine,,87.0,85,,94,95,>=80%,,85,77,87.5,80,78.0,78,72,,,,,,,,,,,,,,,,,,,,,
Maryland,,87.6,82,,95.1,95.3,89,,76.5,84.1,92.4,91,79.2,48,66.9,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,87.5,85,,92.7,92.7,89,,72.7,78.9,91.9,84,78.4,64.1,71.8,,,,,,,,,,,,,,,,,,,,,
Michigan,,79.7,67,,89.8,90.2,78,,72.6,67.4,83.4,74,67.1,72.1,55.4,,,,,,,,,,,,,,,,,,,,,
Minnesota,,82.2,53,,83.6,—,—,,65.3,65.1,87.0,—,68.2,63.2,60.8,,,,,,,,,,,,,,,,,,,,,
Mississippi,,82.3,88,,92,93,>=50%,,82,78.9,85.9,78,78.8,65,34.7,,,,,,,,,,,,,,,,,,,,,
Missouri,,89.0,86,,92,—,—,,83.1,79.0,91.6,89,82.1,68,77.5,,,,,,,,,,,,,,,,,,,,,
Montana,,85.6,66,,93,94,89,,80,81,88.7,—,76.4,59,78,,,,,,,,,,,,,,,,,,,,,
Nebraska,,89.3,74,,81,81,77,,81.8,79,92.6,84,82.2,55,70,,,,,,,,,,,,,,,,,,,,,
Nevada,,73.6,65,,86,88,76,,69.7,56.5,79.9,77,66.7,42.6,29.3,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,88.2,74,,92,92,>=50%,,76,78,89.2,81,76.4,72,73,,,,,,,,,,,,,,,,,,,,,
New Jersey,,90.1,83,,96.7,96.7,94,,83.3,82.1,94.2,92,82.7,74.7,78.8,,,,,,,,,,,,,,,,,,,,,
New Mexico,,71.0,63,,81,—,—,,70.7,61,75.7,—,66.9,67.4,61.9,,,,,,,,,,,,,,,,,,,,,
New York,,80.4,68,,86.7,—,—,,68.1,68.5,89.3,82,72.8,37.8,52.6,,,,,,,,,,,,,,,,,,,,,
North Carolina,,85.9,82,,93.4,—,—,,80.1,82.9,88.6,83.0,80.6,57,68.9,,,,,,,,,,,,,,,,,,,,,
North Dakota,,87.5,66,,88,88,—,,77,77,90.8,—,71,69,68,,,,,,,,,,,,,,,,,,,,,
Ohio,,83.5,70,,87,—,—,,72.8,67.3,87.7,77.4,72.0,50,69.6,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,81.6,81.4,,86,86,86,,77.8,77.1,83.2,81.8,75.9,58,74.4,,,,,,,,,,,,,,,,,,,,,
Oregon,,74.8,56,,86,88,70,,69.4,66,76.6,74,68.1,53,55.5,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,86.1,77,,91.2,91.2,90,,72.8,73.2,90.5,80,78.0,62.7,74.1,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,82.8,78,,91,92,75,,79,81,88.4,35,74.8,74,59,,,,,,,,,,,,,,,,,,,,,
See notes at end of table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2015–16—Continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,Percent of students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,American Indian / Alaska Native,,Total,Asian1,Hawaiian Native/Pacific Islander1,,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities,,,,,,,,,,,,,,,,,,,,,
South Carolina,,82.6,74,,94,—,—,,79.9,80.3,84.1,—,87.7,76,52.1,,,,,,,,,,,,,,,,,,,,,
South Dakota,,83.9,51,,79,82,<50%,,73,77,89.3,78,67,57,60,,,,,,,,,,,,,,,,,,,,,
Tennessee,,88.5,86,,93,93,91,,83.7,82.3,91.3,—,85.5,76,71.8,,,,,,,,,,,,,,,,,,,,,
Texas,,89.1,87,,95.4,95.7,88,,86.9,85.4,93.4,90.8,86.0,73.7,77.9,,,,,,,,,,,,,,,,,,,,,
Utah,,85.2,71,,87,90,85,,75.1,74,87.9,81,75.6,66,70.2,,,,,,,,,,,,,,,,,,,,,
Vermont,,87.7,<>,,83,<>,<>,,89,71,88.4,78,80,68,72,,,,,,,,,,,,,,,,,,,,,
Virginia,,86.7,—,,93.1,93.1,—,,74.8,81.3,90.7,—,78.1,45.4,53.9,,,,,,,,,,,,,,,,,,,,,
Washington,,79.7,63,,86.6,88.8,68,,72.8,71.3,82.2,78.0,70.2,57.8,58.7,,,,,,,,,,,,,,,,,,,,,
West Virginia,,89.8,<>,,>=95%,<>,<>,,89,88,89.9,84,85.5,93,77,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,88.2,78,,89,89,80,,79.9,64.2,92.7,85,77.4,66,68.5,,,,,,,,,,,,,,,,,,,,,
Wyoming,,80.0,53,,84,85,>=50%,,74,81,82.0,74,69.1,70,65,,,,,,,,,,,,,,,,,,,,,
— Not available.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<> Data were suppressed to protect the confidentiality of individual student data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
≥ Greater than or equal to. The estimate has been top coded to protect the confidentiality of individual student data.  Rates reported as whole numbers are rounded to protect the confidentiality of individual students.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1Data for Asian, Hawaiian Native/Pacific Islander, and Two or more races students are being published by NCES for the first time in school year 2015–16.  Not all states report using all of the additional subgroups.  Subgroups that are not reported by a state appear as “– Not Available”. California and Utah report using the additional racial subgroup “FILIPINO”.  The cohort and resulting rate for the “Native Hawaiian/Pacific Islander” in California and Utah include students reported using the “FILIPINO” category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2The United States 4-year ACGR for American Indian/Alaska Native students was estimated using both the reported 4-year ACGR data from 49 states and the District of Columbia and using imputed data for Virginia since the state does not report a rate for that subgroup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: The 4-year ACGR is the number of students who graduate in 4 years with a regular high school diploma divided by the number of students who form the adjusted cohort for the graduating class. From the beginning of 9th grade (or the earliest high school grade), students who are entering that grade for the first time form a cohort that is “adjusted” by adding any students who subsequently transfer into the cohort and subtracting any students who subsequently transfer out, emigrate to another country, or die. There are some differences in how states implemented the requirements for the ACGR, leading to the potential for differences across states in how the rates are calculated.  This is particularly applicable to the population of children with disabilities. Black includes African American, Hispanic includes Latino, Asian/Pacific Islander includes Native Hawaiian or Other Pacific Islander, and American Indian includes Alaska Native. Race categories exclude Hispanic origin unless specified. Variances of +/- 5% from year-to-year for any subgroup over 50 in cohort size were addressed with states through ED’s Coordinated Data Quality Review. With one exception, West Virginia, states provided explanations for the increase/decrease. The state comment was not accepted by the data steward (OESE) for California, Illinois, Louisiana, New Mexico, Texas, Utah and the District of Columbia. Those seven states and West Virginia received a letter from OESE to the state’s Chief State School Officer outlining data quality concerns that are expected to be addressed in future submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: EDFacts Data Groups 695 and 696, School year 2015–16; October 25, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
