"          Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2008",,,,,,,,,,
,,,,,,,,,,
"SOURCE: 2008 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
,,ENTERPRISE,,,,,ANNUAL,ANNUAL,,
FIPS,,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,,
CODE,AREA DESCRIPTION, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,,
99,United States,1:   Total,"5,930,132","7,601,169","120,903,551",G,"5,130,509,178",G,,
99,United States,2:   0-4,"3,617,764","3,624,614","6,086,291",G,"232,062,907",G,,
99,United States,3:   5-9,"1,044,065","1,056,947","6,878,051",G,"222,504,912",G,,
99,United States,4:   10-19,"633,141","667,463","8,497,391",G,"293,534,352",G,,
99,United States,5:   <20,"5,294,970","5,349,024","21,461,733",G,"748,102,171",G,,
99,United States,6:   20-99,"526,307","705,430","20,684,691",G,"774,589,335",G,,
99,United States,7:   100-499,"90,386","359,902","17,547,567",G,"706,476,693",G,,
99,United States,8:   <500,"5,911,663","6,414,356","59,693,991",G,"2,229,168,199",G,,
99,United States,9:   500+,"18,469","1,186,813","61,209,560",G,"2,901,340,979",G,,
01,Alabama,1:   Total,"79,812","103,875","1,714,692",G,"59,827,325",G,,
01,Alabama,2:   0-4,"43,194","43,259","80,104",G,"2,419,258",G,,
01,Alabama,3:   5-9,"15,160","15,349","100,066",G,"2,791,861",G,,
01,Alabama,4:   10-19,"9,107","9,588","121,129",G,"3,623,405",G,,
01,Alabama,5:   <20,"67,461","68,196","301,299",G,"8,834,524",G,,
01,Alabama,6:   20-99,"7,987","10,723","297,858",G,"9,652,355",G,,
01,Alabama,7:   100-499,"2,017","5,503","247,136",G,"8,472,136",G,,
01,Alabama,8:   <500,"77,465","84,422","846,293",G,"26,959,015",G,,
01,Alabama,9:   500+,"2,347","19,453","868,399",G,"32,868,310",G,,
02,Alaska,1:   Total,"16,529","19,934","248,387",G,"12,113,049",G,,
02,Alaska,2:   0-4,"10,029","10,049","15,238",H,"717,380",G,,
02,Alaska,3:   5-9,"2,802","2,846","18,511",G,"702,159",G,,
02,Alaska,4:   10-19,"1,662","1,823","22,077",G,"912,131",G,,
02,Alaska,5:   <20,"14,493","14,718","55,826",G,"2,331,670",G,,
02,Alaska,6:   20-99,"1,172","1,711","41,209",G,"1,814,435",G,,
02,Alaska,7:   100-499,316,"1,017","35,987",G,"1,593,795",G,,
02,Alaska,8:   <500,"15,981","17,446","133,022",G,"5,739,900",G,,
02,Alaska,9:   500+,548,"2,488","115,365",G,"6,373,149",G,,
04,Arizona,1:   Total,"109,823","140,081","2,334,061",G,"89,799,018",G,,
04,Arizona,2:   0-4,"64,447","64,568","104,115",G,"4,207,062",G,,
04,Arizona,3:   5-9,"17,851","18,042","117,705",G,"3,586,390",G,,
04,Arizona,4:   10-19,"11,399","11,826","151,618",G,"4,742,176",G,,
04,Arizona,5:   <20,"93,697","94,436","373,438",G,"12,535,628",G,,
04,Arizona,6:   20-99,"10,293","12,711","382,771",G,"12,623,249",G,,
04,Arizona,7:   100-499,"2,813","6,886","338,058",G,"11,977,795",G,,
04,Arizona,8:   <500,"106,803","114,033","1,094,267",G,"37,136,672",G,,
04,Arizona,9:   500+,"3,020","26,048","1,239,794",G,"52,662,346",G,,
05,Arkansas,1:   Total,"52,699","66,668","1,026,005",G,"33,809,713",G,,
05,Arkansas,2:   0-4,"30,010","30,034","51,807",G,"1,536,677",G,,
05,Arkansas,3:   5-9,"9,624","9,701","63,218",G,"1,616,835",G,,
05,Arkansas,4:   10-19,"5,580","5,860","73,640",G,"2,018,889",G,,
05,Arkansas,5:   <20,"45,214","45,595","188,665",G,"5,172,401",G,,
05,Arkansas,6:   20-99,"4,632","6,433","169,552",G,"4,766,425",G,,
05,Arkansas,7:   100-499,"1,189","3,601","143,855",G,"4,371,402",G,,
05,Arkansas,8:   <500,"51,035","55,629","502,072",G,"14,310,228",G,,
05,Arkansas,9:   500+,"1,664","11,039","523,933",G,"19,499,485",G,,
06,California,1:   Total,"717,133","879,025","13,742,925",G,"659,926,263",G,,
06,California,2:   0-4,"434,466","435,269","723,010",G,"35,083,422",G,,
06,California,3:   5-9,"123,345","124,809","812,028",G,"29,027,641",G,,
06,California,4:   10-19,"74,972","78,457","1,002,297",G,"37,885,075",G,,
06,California,5:   <20,"632,783","638,535","2,537,335",G,"101,996,138",G,,
06,California,6:   20-99,"65,362","82,053","2,509,871",G,"102,935,981",G,,
06,California,7:   100-499,"13,168","38,041","1,986,743",G,"89,973,740",G,,
06,California,8:   <500,"711,313","758,629","7,033,949",G,"294,905,859",G,,
06,California,9:   500+,"5,820","120,396","6,708,976",G,"365,020,404",G,,
08,Colorado,1:   Total,"130,297","156,684","2,121,718",G,"91,175,156",G,,
08,Colorado,2:   0-4,"83,112","83,207","127,672",H,"4,996,636",G,,
08,Colorado,3:   5-9,"19,698","19,883","129,831",G,"4,369,670",G,,
08,Colorado,4:   10-19,"11,848","12,302","157,198",G,"5,593,079",G,,
08,Colorado,5:   <20,"114,658","115,392","414,701",G,"14,959,385",G,,
08,Colorado,6:   20-99,"10,017","12,454","362,551",G,"13,618,589",G,,
08,Colorado,7:   100-499,"2,589","6,030","277,417",G,"11,809,857",G,,
08,Colorado,8:   <500,"127,264","133,876","1,054,669",G,"40,387,831",G,,
08,Colorado,9:   500+,"3,033","22,808","1,067,049",G,"50,787,325",G,,
09,Connecticut,1:   Total,"75,842","92,597","1,551,305",G,"82,768,724",G,,
09,Connecticut,2:   0-4,"42,525","42,577","74,798",G,"3,363,222",G,,
09,Connecticut,3:   5-9,"13,532","13,669","88,577",G,"3,556,029",G,,
09,Connecticut,4:   10-19,"8,559","8,886","113,206",G,"5,091,685",G,,
09,Connecticut,5:   <20,"64,616","65,132","276,581",G,"12,010,936",G,,
09,Connecticut,6:   20-99,"7,189","8,728","264,029",G,"12,906,296",G,,
09,Connecticut,7:   100-499,"1,974","4,532","239,203",G,"12,608,826",G,,
09,Connecticut,8:   <500,"73,779","78,392","779,813",G,"37,526,058",G,,
09,Connecticut,9:   500+,"2,063","14,205","771,492",G,"45,242,666",G,,
10,Delaware,1:   Total,"20,364","25,174","389,510",G,"17,566,447",G,,
10,Delaware,2:   0-4,"11,172","11,193","18,098",G,"694,196",G,,
10,Delaware,3:   5-9,"3,131","3,167","20,535",G,"686,873",G,,
10,Delaware,4:   10-19,"2,013","2,115","26,770",G,"934,687",G,,
10,Delaware,5:   <20,"16,316","16,475","65,403",G,"2,315,756",G,,
10,Delaware,6:   20-99,"1,891","2,400","66,233",G,"2,532,502",G,,
10,Delaware,7:   100-499,715,"1,291","50,869",G,"2,103,117",G,,
10,Delaware,8:   <500,"18,922","20,166","182,505",G,"6,951,375",G,,
10,Delaware,9:   500+,"1,442","5,008","207,005",G,"10,615,072",G,,
11,District of Columbia,1:   Total,"16,865","21,081","466,050",G,"30,292,302",G,,
11,District of Columbia,2:   0-4,"7,932","7,945","14,202",G,"982,327",G,,
11,District of Columbia,3:   5-9,"2,740","2,757","17,911",G,"1,037,874",G,,
11,District of Columbia,4:   10-19,"1,805","1,852","23,583",G,"1,400,995",G,,
11,District of Columbia,5:   <20,"12,477","12,554","55,696",G,"3,421,196",G,,
11,District of Columbia,6:   20-99,"2,187","2,469","75,171",G,"4,334,427",G,,
11,District of Columbia,7:   100-499,963,"1,445","87,437",G,"4,988,467",G,,
11,District of Columbia,8:   <500,"15,627","16,468","218,304",G,"12,744,090",G,,
11,District of Columbia,9:   500+,"1,238","4,613","247,746",G,"17,548,212",G,,
12,Florida,1:   Total,"414,799","507,027","7,366,571",G,"267,429,672",G,,
12,Florida,2:   0-4,"281,649","282,098","446,406",H,"15,969,201",G,,
12,Florida,3:   5-9,"61,177","61,711","400,160",G,"12,883,768",G,,
12,Florida,4:   10-19,"33,904","35,296","448,754",G,"14,916,584",G,,
12,Florida,5:   <20,"376,730","379,105","1,295,320",G,"43,769,553",G,,
12,Florida,6:   20-99,"27,114","33,603","1,010,251",G,"34,993,322",G,,
12,Florida,7:   100-499,"6,495","17,356","854,824",G,"31,408,251",G,,
12,Florida,8:   <500,"410,339","430,064","3,160,395",G,"110,171,126",G,,
12,Florida,9:   500+,"4,460","76,963","4,206,176",G,"157,258,546",G,,
13,Georgia,1:   Total,"179,576","227,593","3,633,431",G,"142,779,694",G,,
13,Georgia,2:   0-4,"108,496","108,679","178,649",H,"6,456,452",G,,
13,Georgia,3:   5-9,"29,082","29,354","191,039",G,"5,964,620",G,,
13,Georgia,4:   10-19,"17,858","18,567","237,778",G,"7,733,624",G,,
13,Georgia,5:   <20,"155,436","156,600","607,466",G,"20,154,696",G,,
13,Georgia,6:   20-99,"15,920","19,620","580,402",G,"19,777,345",G,,
13,Georgia,7:   100-499,"4,218","10,032","466,351",G,"17,530,967",G,,
13,Georgia,8:   <500,"175,574","186,252","1,654,219",G,"57,463,008",G,,
13,Georgia,9:   500+,"4,002","41,341","1,979,212",G,"85,316,686",G,,
15,Hawaii,1:   Total,"26,360","32,904","518,168",G,"18,539,010",G,,
15,Hawaii,2:   0-4,"14,509","14,556","25,781",G,"951,874",G,,
15,Hawaii,3:   5-9,"4,876","4,951","32,022",G,"1,024,143",G,,
15,Hawaii,4:   10-19,"2,894","3,077","38,661",G,"1,244,128",G,,
15,Hawaii,5:   <20,"22,279","22,584","96,464",G,"3,220,145",G,,
15,Hawaii,6:   20-99,"2,524","3,446","94,807",G,"3,173,911",G,,
15,Hawaii,7:   100-499,675,"2,011","91,141",G,"3,249,557",G,,
15,Hawaii,8:   <500,"25,478","28,041","282,412",G,"9,643,613",G,,
15,Hawaii,9:   500+,882,"4,863","235,756",G,"8,895,397",G,,
16,Idaho,1:   Total,"39,368","46,246","537,952",G,"17,574,245",G,,
16,Idaho,2:   0-4,"23,770","23,804","38,284",H,"1,162,350",G,,
16,Idaho,3:   5-9,"6,621","6,672","43,705",G,"1,132,180",G,,
16,Idaho,4:   10-19,"3,980","4,159","52,272",G,"1,427,369",G,,
16,Idaho,5:   <20,"34,371","34,635","134,261",G,"3,721,899",G,,
16,Idaho,6:   20-99,"3,093","4,170","109,034",G,"3,212,068",G,,
16,Idaho,7:   100-499,739,"2,041","69,789",G,"2,141,697",G,,
16,Idaho,8:   <500,"38,203","40,846","313,084",G,"9,075,664",G,,
16,Idaho,9:   500+,"1,165","5,400","224,868",G,"8,498,581",G,,
17,Illinois,1:   Total,"260,225","321,942","5,464,130",G,"250,538,255",G,,
17,Illinois,2:   0-4,"155,837","156,079","252,294",G,"10,517,069",G,,
17,Illinois,3:   5-9,"42,602","43,070","279,777",G,"9,853,543",G,,
17,Illinois,4:   10-19,"26,574","27,696","353,162",G,"13,593,511",G,,
17,Illinois,5:   <20,"225,013","226,845","885,233",G,"33,964,123",G,,
17,Illinois,6:   20-99,"24,523","30,410","919,062",G,"37,736,032",G,,
17,Illinois,7:   100-499,"6,233","15,323","798,415",G,"35,037,605",G,,
17,Illinois,8:   <500,"255,769","272,578","2,602,710",G,"106,737,760",G,,
17,Illinois,9:   500+,"4,456","49,364","2,861,420",G,"143,800,495",G,,
18,Indiana,1:   Total,"115,466","150,101","2,619,140",G,"94,838,015",G,,
18,Indiana,2:   0-4,"63,401","63,498","111,167",G,"3,415,794",G,,
18,Indiana,3:   5-9,"21,016","21,235","138,237",G,"3,821,200",G,,
18,Indiana,4:   10-19,"13,312","14,003","178,256",G,"5,276,082",G,,
18,Indiana,5:   <20,"97,729","98,736","427,660",G,"12,513,076",G,,
18,Indiana,6:   20-99,"11,698","15,463","436,640",G,"14,083,974",G,,
18,Indiana,7:   100-499,"3,086","8,745","402,617",G,"14,298,265",G,,
18,Indiana,8:   <500,"112,513","122,944","1,266,917",G,"40,895,315",G,,
18,Indiana,9:   500+,"2,953","27,157","1,352,223",G,"53,942,700",G,,
19,Iowa,1:   Total,"65,015","82,353","1,317,121",G,"45,228,724",G,,
19,Iowa,2:   0-4,"37,067","37,118","62,581",G,"1,823,448",G,,
19,Iowa,3:   5-9,"11,399","11,547","74,809",G,"1,938,288",G,,
19,Iowa,4:   10-19,"7,060","7,539","93,657",G,"2,656,831",G,,
19,Iowa,5:   <20,"55,526","56,204","231,047",G,"6,418,567",G,,
19,Iowa,6:   20-99,"6,066","8,853","227,086",G,"7,051,371",G,,
19,Iowa,7:   100-499,"1,642","5,534","215,965",G,"7,272,440",G,,
19,Iowa,8:   <500,"63,234","70,591","674,098",G,"20,742,378",G,,
19,Iowa,9:   500+,"1,781","11,762","643,023",G,"24,486,346",G,,
20,Kansas,1:   Total,"60,989","76,096","1,185,777",G,"43,984,689",G,,
20,Kansas,2:   0-4,"34,397","34,432","59,535",G,"1,840,909",G,,
20,Kansas,3:   5-9,"10,627","10,736","69,735",G,"1,930,118",G,,
20,Kansas,4:   10-19,"6,506","6,911","86,672",G,"2,628,548",G,,
20,Kansas,5:   <20,"51,530","52,079","215,942",G,"6,399,575",G,,
20,Kansas,6:   20-99,"5,805","7,798","211,853",G,"7,077,641",G,,
20,Kansas,7:   100-499,"1,675","4,596","200,364",G,"6,691,036",G,,
20,Kansas,8:   <500,"59,010","64,473","628,159",G,"20,168,252",G,,
20,Kansas,9:   500+,"1,979","11,623","557,618",G,"23,816,437",G,,
21,Kentucky,1:   Total,"71,510","92,587","1,570,800",G,"54,120,319",G,,
21,Kentucky,2:   0-4,"38,758","38,825","69,279",G,"2,046,796",G,,
21,Kentucky,3:   5-9,"13,202","13,319","87,091",G,"2,304,350",G,,
21,Kentucky,4:   10-19,"8,144","8,531","108,551",G,"3,042,017",G,,
21,Kentucky,5:   <20,"60,104","60,675","264,921",G,"7,393,163",G,,
21,Kentucky,6:   20-99,"7,169","9,513","262,711",G,"8,284,738",G,,
21,Kentucky,7:   100-499,"1,902","5,149","228,483",G,"7,295,964",G,,
21,Kentucky,8:   <500,"69,175","75,337","756,115",G,"22,973,865",G,,
21,Kentucky,9:   500+,"2,335","17,250","814,685",G,"31,146,454",G,,
22,Louisiana,1:   Total,"82,301","104,007","1,655,151",G,"62,392,576",G,,
22,Louisiana,2:   0-4,"44,309","44,368","78,972",G,"2,836,266",G,,
22,Louisiana,3:   5-9,"15,552","15,669","102,452",G,"3,016,176",G,,
22,Louisiana,4:   10-19,"9,719","10,193","129,527",G,"4,057,127",G,,
22,Louisiana,5:   <20,"69,580","70,230","310,951",G,"9,909,569",G,,
22,Louisiana,6:   20-99,"8,592","11,239","330,989",G,"10,916,179",G,,
22,Louisiana,7:   100-499,"2,016","5,220","261,514",G,"9,955,126",G,,
22,Louisiana,8:   <500,"80,188","86,689","903,454",G,"30,780,874",G,,
22,Louisiana,9:   500+,"2,113","17,318","751,697",G,"31,611,702",G,,
23,Maine,1:   Total,"34,942","41,755","509,093",G,"17,684,908",G,,
23,Maine,2:   0-4,"21,513","21,535","34,062",G,"1,128,843",G,,
23,Maine,3:   5-9,"5,794","5,860","38,178",G,"1,095,772",G,,
23,Maine,4:   10-19,"3,383","3,549","44,855",G,"1,318,002",G,,
23,Maine,5:   <20,"30,690","30,944","117,095",G,"3,542,617",G,,
23,Maine,6:   20-99,"2,591","3,502","94,427",G,"3,028,110",G,,
23,Maine,7:   100-499,681,"2,370","87,469",G,"2,921,882",G,,
23,Maine,8:   <500,"33,962","36,816","298,991",G,"9,492,609",G,,
23,Maine,9:   500+,980,"4,939","210,102",G,"8,192,299",G,,
24,Maryland,1:   Total,"112,392","138,607","2,232,490",G,"99,649,640",G,,
24,Maryland,2:   0-4,"64,012","64,078","109,135",G,"4,340,005",G,,
24,Maryland,3:   5-9,"19,489","19,660","127,650",G,"4,507,199",G,,
24,Maryland,4:   10-19,"12,213","12,678","162,377",G,"6,169,170",G,,
24,Maryland,5:   <20,"95,714","96,416","399,162",G,"15,016,374",G,,
24,Maryland,6:   20-99,"11,176","13,660","417,794",G,"17,232,922",G,,
24,Maryland,7:   100-499,"2,803","6,326","342,539",G,"14,793,527",G,,
24,Maryland,8:   <500,"109,693","116,402","1,159,495",G,"47,042,823",G,,
24,Maryland,9:   500+,"2,699","22,205","1,072,995",G,"52,606,817",G,,
25,Massachusetts,1:   Total,"141,843","174,290","3,074,569",G,"161,821,239",G,,
25,Massachusetts,2:   0-4,"81,971","82,129","140,724",G,"6,289,046",G,,
25,Massachusetts,3:   5-9,"24,873","25,144","163,249",G,"6,446,297",G,,
25,Massachusetts,4:   10-19,"15,149","15,792","202,568",G,"8,660,862",G,,
25,Massachusetts,5:   <20,"121,993","123,065","506,541",G,"21,396,205",G,,
25,Massachusetts,6:   20-99,"13,291","16,268","496,186",G,"23,941,756",G,,
25,Massachusetts,7:   100-499,"3,562","8,974","469,363",G,"23,024,491",G,,
25,Massachusetts,8:   <500,"138,846","148,307","1,472,090",G,"68,362,452",G,,
25,Massachusetts,9:   500+,"2,997","25,983","1,602,479",G,"93,458,787",G,,
26,Michigan,1:   Total,"182,606","229,310","3,636,241",G,"147,812,891",G,,
26,Michigan,2:   0-4,"105,618","105,766","177,655",G,"6,402,047",G,,
26,Michigan,3:   5-9,"33,110","33,501","218,159",G,"6,779,766",G,,
26,Michigan,4:   10-19,"19,900","20,886","266,054",G,"8,975,099",G,,
26,Michigan,5:   <20,"158,628","160,153","661,868",G,"22,156,912",G,,
26,Michigan,6:   20-99,"16,976","22,505","645,428",G,"23,649,105",G,,
26,Michigan,7:   100-499,"3,921","11,060","560,573",G,"20,984,305",G,,
26,Michigan,8:   <500,"179,525","193,718","1,867,869",G,"66,790,322",G,,
26,Michigan,9:   500+,"3,081","35,592","1,768,372",G,"81,022,569",G,,
27,Minnesota,1:   Total,"120,950","148,845","2,517,356",G,"109,378,505",G,,
27,Minnesota,2:   0-4,"71,792","71,897","111,691",H,"4,206,754",G,,
27,Minnesota,3:   5-9,"19,410","19,606","128,229",G,"4,004,816",G,,
27,Minnesota,4:   10-19,"12,680","13,309","170,123",G,"5,463,541",G,,
27,Minnesota,5:   <20,"103,882","104,812","410,043",G,"13,675,111",G,,
27,Minnesota,6:   20-99,"11,622","15,228","442,206",G,"15,787,730",G,,
27,Minnesota,7:   100-499,"2,887","8,155","397,712",G,"15,602,088",G,,
27,Minnesota,8:   <500,"118,391","128,195","1,249,961",G,"45,064,929",G,,
27,Minnesota,9:   500+,"2,559","20,650","1,267,395",G,"64,313,576",G,,
28,Mississippi,1:   Total,"47,489","60,918","944,747",G,"29,276,870",G,,
28,Mississippi,2:   0-4,"26,138","26,174","47,847",G,"1,339,385",G,,
28,Mississippi,3:   5-9,"8,954","9,049","58,578",G,"1,445,701",G,,
28,Mississippi,4:   10-19,"5,313","5,588","70,732",G,"1,913,830",G,,
28,Mississippi,5:   <20,"40,405","40,811","177,157",G,"4,698,916",G,,
28,Mississippi,6:   20-99,"4,313","5,730","158,511",G,"4,576,549",G,,
28,Mississippi,7:   100-499,"1,157","3,374","131,317",G,"3,988,044",G,,
28,Mississippi,8:   <500,"45,875","49,915","466,985",G,"13,263,509",G,,
28,Mississippi,9:   500+,"1,614","11,003","477,762",G,"16,013,361",G,,
